id,name,pts,idx,xG,build_up_disruption,ppda,tilt,delta,tempo,offe_tran,high_pression,ggpi,iqr,quality
500,Bologna,68,5,1.251,0.965,9.949,46.667,-3.102,17.622,19.385,1.178,1.912,4.066,50.91
511,Empoli,36,17,1.222,-0.502,12.673,40.625,-4.762,16.471,20.133,0.707,1.179,3.795,33.464
512,Frosinone,35,18,1.466,-0.137,10.61,52.055,2.908,17.196,15.421,0.934,1.294,3.833,41.709
495,Genoa,49,11,1.64,-0.297,8.102,57.476,1.585,16.737,17.998,1.313,2.022,3.719,35.494
505,Inter,94,1,1.816,-1.197,10.536,55.714,-0.693,17.124,23.263,0.797,1.479,4.131,58.521
867,Lecce,38,14,1.091,0.812,10.65,50.794,5.866,15.475,8.978,1.057,1.057,3.61,35.097
497,Roma,63,6,1.696,-1.899,12.383,41.667,-3.803,16.351,25.684,0.571,1.143,4.286,48.359
488,Sassuolo,30,19,1.378,-0.695,13.807,52.786,2.815,16.331,13.823,0.618,0.797,4.503,35.804
503,Torino,53,9,1.225,1.435,10.218,54.737,1.959,16.502,12.987,1.205,1.494,4.324,51.278
494,Udinese,37,15,1.273,-0.335,12.28,44.615,-2.923,16.048,17.734,0.754,1.149,4.365,34.308
489,Milan,75,2,1.57,2.553,9.274,55.291,-1.278,16.243,19.792,1.551,2.555,2.21,59.469
504,Verona,38,13,1.088,1.19,11.403,42.752,1.16,15.12,11.035,1.016,1.141,3.353,40.832
492,Napoli,53,10,2.002,2.088,10.093,62.745,4.787,18.537,20.72,1.319,2.246,2.546,63.562
502,Fiorentina,60,8,1.875,3.22,8.434,65.443,7.315,16.054,15.051,1.89,2.577,3.277,60.389
1579,Monza,45,12,1.279,-0.001,11.809,49.667,-2.999,16.891,18.857,0.831,1.322,4.202,39.077
487,Lazio,61,7,1.492,-1.457,13.624,54.167,2.901,19.046,17.383,0.552,0.83,4.37,51.653
514,Salernitana,17,20,1.068,-1.598,13.47,39.718,-3.384,16.377,15.693,0.546,0.765,4.309,27.623
499,Atalanta,69,4,1.652,-0.323,10.555,50.885,1.968,17.957,19.047,0.915,1.466,3.611,58.503
490,Cagliari,36,16,1.628,2.93,9.958,52.941,0.68,16.633,18.666,1.466,2.317,3.464,33.33
496,Juventus,71,3,1.551,-1.659,12.379,47.059,-2.087,16.752,21.266,0.598,1.039,4.783,48.045
